"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2023-05-01","Rent Payment","1325","posted","Rent","Housing","false","","regular","Checking","3456","","true"
"2023-05-10","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-10","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Primary CC","4832","","false"
"2023-05-10","Devocion","7.34","posted","Cafés","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-05-10","Trader Joe's","11.55","posted","Groceries","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-05-10","Other Merchant","20.13","posted","Other","Other","false","","regular","Primary CC","4832","","false"
"2023-05-11","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-11","Metropolitan Tra","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-12","Other Grocery","62.27","posted","Groceries","Food & Drink","false","","regular","Secondary CC","7291","","false"
"2023-05-12","Lark Cafe","-105.92","posted","Tips","Income","true","","income","Checking","3456","","false"
"2023-05-13","Keep The Change Transfer","-0.42","posted","Savings","Transfer","true","","internal transfer","Checking","3456","","false"
"2023-05-13","Other Shop","54.81","posted","Shops","Shopping","false","","regular","Secondary CC","7291","","false"
"2023-05-13","Cleaners","20","posted","Laundry","Personal Care","false","","regular","Debit","3456","","false"
"2023-05-13","Other Shop","53.81","posted","Shops","Shopping","false","","regular","Primary CC","4832","","false"
"2023-05-14","Symbioun Payroll","-2536.8","posted","Payroll","Income","true","","income","Checking","3456","","true"
"2023-05-15","Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
"2023-05-16","Mta*Nyct Paygo","2.9","posted","Train","Transportation","false","","regular","Primary CC","4832","","false"
"2023-05-16","Amazon","5.88","posted","Shops","Shopping","false","","regular","Secondary CC","7291","","false"
"2023-05-17","Square Payroll","-385.13","posted","Side Income","Income","true","","income","Checking","3456","","true"
"2023-05-17","Five Guys","14.99","posted","Fast Food","Food & Drink","false","","regular","Primary CC","4832","","false"
"2023-05-17","Nyct Paygo","3","posted","Train","Transportation","false","","regular","Secondary CC","7291","","false"
