"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2024-05-01","Uber","6.8","posted","Rideshare","Car & Transport","false","","regular","Chase Sapphire Reserve (9234)","","",""
"2024-05-01","Aire Ancient Baths","39.93","posted","Personal Care","Personal Care","false","","regular","Amex Gold (3012)","","",""
"2024-05-01","PATH Tapp Paygo","2.75","posted","Transit","Car & Transport","false","","regular","Chase Sapphire Reserve (9234)","","",""
"2024-05-01","Zelle - Landlord","3200.0","posted","Rent","","false","","regular","Chase Checking (5567)","","",""
"2024-05-01","Blue Bottle Coffee","5.57","posted","Cafés","Food & Drink","false","","regular","Amex Gold (3012)","","",""
"2024-05-01","Abraço","7.89","posted","Cafés","Food & Drink","false","","regular","Amex Gold (3012)","","",""
"2024-05-02","Grubhub","20.82","posted","Food Delivery","Food & Drink","false","","regular","Amex Gold (3012)","","",""
"2024-05-02","Uber","31.29","posted","Rideshare","Car & Transport","false","","regular","Chase Sapphire Reserve (9234)","","",""
"2024-05-02","NYCT Paygo","2.9","posted","Transit","Car & Transport","false","","regular","Chase Sapphire Reserve (9234)","","",""
"2024-05-02","NYCT Paygo","2.9","posted","Transit","Car & Transport","false","","regular","Chase Sapphire Reserve (9234)","","",""
"2024-05-03","ADP Payroll - Direct Deposit","-4720.06","posted","Income","","true","","income","Chase Checking (5567)","","",""
"2024-05-03","Apple One","17.99","posted","Subscriptions","","false","","regular","Chase Checking (5567)","","",""
"2024-05-03","iCloud Storage","9.99","posted","Subscriptions","","false","","regular","Chase Checking (5567)","","",""
"2024-05-03","Tatiana","11.04","posted","Restaurants","Food & Drink","false","","regular","Chase Sapphire Reserve (9234)","","",""
"2024-05-03","MTA*NYCT Paygo","2.75","posted","Transit","Car & Transport","false","","regular","Chase Sapphire Reserve (9234)","","",""
"2024-05-03","Transfer to Marcus Savings","1800.1","posted","Savings Transfer","","true","","internal transfer","Chase Checking (5567)","","",""
"2024-05-03","Uber","10.43","posted","Rideshare","Car & Transport","false","","regular","Chase Sapphire Reserve (9234)","","",""
